date,Control,OldFireModel_Moderate_Control,OldFireModel_Extreme_Control,Treatment,OldFireModel_Moderate_Treatment,OldFireModel_Extreme_Treatment
23Aug1990,146082,146079,144221,145956,146068,144336
24Aug1990,145308,145339,143291,145249,145288,143478
25Aug1990,144495,144525,142610,144435,144475,142764
26Aug1990,143785,143848,141821,143686,143725,142048
27Aug1990,143213,143277,141033,143115,143154,141332
28Aug1990,142273,142337,140226,142175,142214,140524
29Aug1990,141372,141435,139385,141273,141313,139756
30Aug1990,140471,140534,138544,140405,140444,138954
31Aug1990,139491,139587,137696,139458,139498,138073
01Sep1990,138545,138642,136850,138546,138585,137194
02Sep1990,137500,137597,136004,137501,137540,136281
03Sep1990,136672,136769,135058,136673,136712,135375
04Sep1990,135922,136019,134190,135923,135962,134546
05Sep1990,135060,135157,133388,135094,135133,133744
06Sep1990,134125,134255,132474,134192,134231,132764
07Sep1990,133290,133419,131488,133356,133396,131778
08Sep1990,132493,132623,130468,132593,132632,130725
09Sep1990,131625,131754,129554,131685,131724,129745
10Sep1990,130907,131036,128686,130967,131006,128949
11Sep1990,130077,130206,127811,130170,130210,128146
12Sep1990,129253,129383,126975,129380,129347,127350
13Sep1990,128575,128704,126218,128701,128668,126559
14Sep1990,127974,128104,125467,128134,128101,125848
15Sep1990,127413,127543,124828,127606,127573,125281
16Sep1990,126714,126844,124150,127006,126973,124569
17Sep1990,126193,126323,123661,126485,126452,124064
18Sep1990,125560,125690,122983,125885,125852,123385
19Sep1990,124888,125017,122265,125245,125213,122668
20Sep1990,124321,124450,121370,124678,124645,121844
21Sep1990,123570,123699,120357,123855,123822,120976
22Sep1990,123009,123138,119790,123294,123261,120481
23Sep1990,122522,122652,119225,122735,122702,119883
24Sep1990,121981,122038,118565,122121,122088,119302
25Sep1990,121243,121300,117816,121312,121312,118592
26Sep1990,120427,120484,116921,120423,120351,117664
27Sep1990,119542,119599,116129,119637,119565,116839
28Sep1990,118751,118808,115221,118774,118702,115898
29Sep1990,118117,118173,114508,118139,118067,115185
30Sep1990,117425,117481,113804,117447,117375,114476
01Oct1990,117171,117228,113649,117193,117121,114289
02Oct1990,116917,116974,113461,116939,116867,114068
03Oct1990,116695,116752,113306,116718,116646,113880
04Oct1990,116507,116564,113184,116529,116457,113724
05Oct1990,116320,116377,113064,116343,116271,113571
06Oct1990,116132,116189,112941,116154,116115,113448
07Oct1990,115976,116033,113017,115999,115960,113458
08Oct1990,115757,115813,112996,115779,115740,113371
09Oct1990,115636,115693,112942,115692,115653,113317
10Oct1990,115482,115539,112920,115604,115565,113262
11Oct1990,115294,115350,112831,115448,115409,113173
12Oct1990,115139,115196,112809,115327,115288,113118
13Oct1990,115018,115075,112820,115206,115167,113095
14Oct1990,114896,114953,112798,115084,115045,112974
15Oct1990,114709,114765,112775,114896,114857,112951
16Oct1990,114587,114644,112753,114775,114736,112896
17Oct1990,114466,114523,112797,114653,114614,112907
18Oct1990,114443,114500,112874,114631,114592,112885
