date,Control,OldFireModel_Moderate_Control,OldFireModel_Extreme_Control,Treatment,OldFireModel_Moderate_Treatment,OldFireModel_Extreme_Treatment
27Jun1998,133534,133187,134024,133657,133697,134529
28Jun1998,134340,133997,134839,134464,134516,134993
29Jun1998,134993,134792,134993,134993,134993,134993
30Jun1998,134993,134993,134993,134993,134993,134993
01Jul1998,134438,134438,134438,134438,134438,134438
02Jul1998,134489,134489,134492,134489,134490,134492
03Jul1998,134540,134540,134545,134541,134541,134546
04Jul1998,134591,134591,134599,134592,134592,134599
05Jul1998,134572,134572,134582,134573,134574,134583
06Jul1998,134474,134474,134487,134476,134476,134488
07Jul1998,134249,134250,134266,134252,134253,134267
08Jul1998,133851,133852,133870,133854,133855,133872
09Jul1998,133300,133301,133321,133303,133304,133323
10Jul1998,132639,132640,132663,132643,132644,132665
11Jul1998,131928,131930,131955,131932,131934,131958
12Jul1998,131206,131208,131235,131210,131212,131238
13Jul1998,130473,130475,130506,130478,130480,130509
14Jul1998,129735,129737,129770,129741,129743,129773
15Jul1998,128993,128996,129031,128999,129001,129034
16Jul1998,128251,128254,128292,128257,128260,128295
17Jul1998,127509,127512,127552,127516,127518,127556
18Jul1998,126767,126770,126813,126775,126777,126817
19Jul1998,126026,126029,126074,126033,126036,126079
20Jul1998,125284,125288,125335,125292,125295,125340
21Jul1998,124543,124546,124597,124551,124554,124601
22Jul1998,123801,123805,123858,123810,123813,123863
23Jul1998,123060,123064,123119,123069,123073,123125
24Jul1998,122319,122323,122381,122328,122332,122386
25Jul1998,121578,121582,121642,121588,121592,121648
26Jul1998,120837,120841,120904,120847,120851,120910
27Jul1998,120096,120100,120166,120107,120111,120172
28Jul1998,119355,119360,119428,119366,119371,119434
29Jul1998,118614,118619,118690,118626,118630,118696
30Jul1998,117874,117879,117952,117886,117890,117959
31Jul1998,117097,117102,117181,117109,117114,117189
01Aug1998,116287,116292,116381,116299,116304,116389
02Aug1998,115476,115482,115580,115489,115494,115589
03Aug1998,114666,114672,114780,114680,114684,114789
04Aug1998,113856,113862,113980,113870,113875,113990
05Aug1998,113046,113052,113180,113060,113065,113190
06Aug1998,112236,112242,112380,112251,112256,112391
07Aug1998,111427,111432,111580,111441,111446,111591
08Aug1998,110617,110623,110780,110632,110637,110792
09Aug1998,109808,109813,109980,109823,109828,109993
10Aug1998,108998,109004,109181,109013,109019,109194
11Aug1998,108189,108194,108381,108204,108210,108395
12Aug1998,107379,107385,107582,107395,107401,107596
13Aug1998,106570,106576,106782,106587,106592,106797
14Aug1998,105761,105767,105983,105778,105783,105999
15Aug1998,104952,104958,105184,104969,104974,105200
16Aug1998,104143,104149,104385,104161,104166,104402
17Aug1998,103335,103341,103586,103352,103358,103603
18Aug1998,102526,102532,102787,102544,102549,102805
19Aug1998,101717,101723,101988,101735,101741,102007
20Aug1998,100909,100915,101190,100927,100933,101209
21Aug1998,100101,100107,100391,100119,100125,100411
22Aug1998,99292,99298,99593,99311,99317,99613
23Aug1998,98484,98490,98794,98503,98509,98815
24Aug1998,97676,97682,97996,97695,97701,98017
25Aug1998,96868,96874,97197,96888,96893,97220
26Aug1998,96060,96066,96399,96080,96086,96422
27Aug1998,95252,95258,95601,95272,95278,95625
28Aug1998,94444,94451,94803,94465,94471,94827
29Aug1998,93636,93643,94005,93657,93663,94030
30Aug1998,92829,92835,93208,92850,92856,93233
31Aug1998,92040,92046,92455,92061,92067,92473
01Sep1998,91274,91281,91753,91296,91302,91757
02Sep1998,90508,90516,91051,90531,90537,91041
03Sep1998,89743,89750,90349,89766,89772,90324
04Sep1998,88977,88985,89647,89001,89007,89608
05Sep1998,88212,88220,88946,88236,88243,88892
06Sep1998,87447,87455,88244,87471,87478,88176
07Sep1998,86681,86690,87542,86706,86713,87460
08Sep1998,85916,85925,86841,85941,85949,86744
09Sep1998,85151,85160,86139,85176,85184,86028
10Sep1998,84386,84395,85438,84412,84420,85312
11Sep1998,83621,83631,84737,83647,83655,84597
12Sep1998,82856,82866,84035,82883,82891,83881
13Sep1998,82091,82102,83334,82118,82127,83165
14Sep1998,81327,81337,82633,81354,81362,82450
15Sep1998,80562,80573,81932,80589,80598,81734
16Sep1998,79797,79808,81231,79825,79834,81019
17Sep1998,79033,79044,80530,79061,79070,80304
18Sep1998,78268,78280,79829,78297,78307,79588
19Sep1998,77504,77516,79128,77533,77543,78873
20Sep1998,76740,76752,78427,76769,76779,78158
21Sep1998,75975,75988,77727,76005,76015,77443
22Sep1998,75211,75224,77026,75241,75252,76728
23Sep1998,74447,74460,76325,74478,74488,76013
24Sep1998,73683,73696,75625,73714,73725,75298
25Sep1998,72919,72933,74924,72951,72961,74583
26Sep1998,72155,72169,74224,72187,72198,73869
27Sep1998,71391,71405,73524,71424,71435,73154
28Sep1998,70628,70642,72824,70660,70672,72440
29Sep1998,69864,69879,72123,69897,69909,71725
