,SFMD,FMD_storage,SHHL,HHL_storage,RFMD,FMD_out_FMPH,RHHL,HHL_out_MFPH
1996-02-23,80.5812049319963,107.0,147.3400100327691,172.1,1.171119133372535,394.0,2.6935740067568315,781.0
1996-02-24,81.36632006627346,107.0,148.20459359188976,172.2,1.171119133372535,394.0,2.6935740067568315,789.0
1996-02-25,82.04746825857696,106.9,148.81644987870874,172.2,1.171119133372535,394.0,2.6935740067568315,713.0
1996-02-26,82.53258339335933,106.6,149.47541360346492,171.9,1.171119133372535,396.0,2.6935740067568315,890.0
1996-02-27,83.11571505690226,106.4,150.05817898124198,171.5,1.171119133372535,396.0,2.6935740067568315,903.0
1996-02-28,83.50281366292407,106.0,150.54887824347162,171.0,1.171119133372535,398.0,2.6935740067568315,909.0
1996-02-29,83.88792879787484,105.6,151.308668414339,170.9,1.171119133372535,398.0,2.6935740067568315,843.0
1996-03-01,84.37006872605066,105.3,151.72763213949935,170.6,1.171119133372535,398.0,2.6935740067568315,787.0
1996-03-02,84.64030782813704,104.8,152.31287685611522,170.5,1.171119133372535,392.0,2.6935740067568315,764.0
1996-03-03,85.31253040062086,104.7,153.07431991954184,170.6,1.171119133372535,392.0,2.6935740067568315,749.0
1996-03-04,86.1006207415046,104.7,154.67559769229797,172.0,1.171119133372535,393.0,2.6935740067568315,511.0
1996-03-05,86.67879372736994,104.5,155.39671017728008,172.5,1.171119133372535,392.0,2.6935740067568315,527.0
1996-03-06,86.75130341273379,104.2,155.42933640472054,172.8,203.69303322447198,392.0,468.4939764162855,547.0
1996-03-07,86.76827590810854,103.9,155.63683866492437,172.9,203.69303322447198,364.0,468.4939764162855,709.0
1996-03-08,86.83880212240136,103.6,155.79277067728117,173.0,203.69303322447198,391.0,468.4939764162855,709.0
1996-03-09,86.81131180793362,103.2,156.08324814395684,173.3,203.69303322447198,392.0,468.4939764162855,676.0
1996-03-10,87.18382149279228,103.2,156.5348826351545,173.9,203.69303322447198,390.0,468.4939764162855,604.0
1996-03-11,87.66624853283774,103.3,157.20486423342248,175.0,203.69303322447198,390.0,468.4939764162855,460.0
1996-03-12,88.03561772183392,103.4,157.6760028568187,175.8,203.69303322447198,336.0,468.4939764162855,458.0
1996-03-13,88.20812740702938,103.2,157.92962081942423,176.2,203.69303322447198,390.0,468.4939764162855,606.0
1996-03-14,88.3786536211538,103.0,158.0110073773611,176.4,203.69303322447198,390.0,468.4939764162855,621.0
1996-03-15,88.44917983544663,102.7,158.1578484806423,176.6,203.69303322447198,390.0,468.4939764162855,654.0
1996-03-16,88.62367299171312,102.5,158.46502016216587,177.0,203.69303322447198,392.0,468.4939764162855,636.0
1996-03-17,89.00014961871386,102.5,158.81186126511025,177.4,203.69303322447198,392.0,468.4939764162855,656.0
