date,streamflow,streamflow_thin,streamflow_fire,streamflow_fire_temperature
5/9/02,26.97628157,20.91056707,23.0167539,17.18332946
5/10/02,17.49628962,18.82820282,20.55944298,15.92539374
5/11/02,23.13311804,16.67703991,17.97851757,13.73307912
5/12/02,16.12796533,15.17450447,16.56912124,12.92984392
5/13/02,12.39463265,13.48919647,14.99364409,12.11254623
5/14/02,11.1386091,12.27237262,13.43963913,10.42903089
5/15/02,10.0029334,11.02200595,12.34308345,9.832709527
5/16/02,9.061583018,10.16128583,11.40635417,9.638782584
5/17/02,8.164690823,9.391155246,10.56125019,8.258547002
5/18/02,7.444715135,8.626442508,9.852707745,8.517966118
5/19/02,6.7836585,7.833405601,9.385259357,9.765345012
5/20/02,10.20877164,11.8530076,14.17132692,36.14785479
5/21/02,27.8960801,32.76664213,32.75504953,49.43467886
5/22/02,49.6724266,53.79425056,57.66028059,65.17753906
5/23/02,48.98201003,51.63810802,60.30645915,76.93362302
5/24/02,37.17178746,39.56794846,71.99975986,51.58643932
5/25/02,23.80540873,26.09054376,53.65577684,28.62677196
5/26/02,20.18863937,22.30195704,28.62892316,22.45724201
5/27/02,17.25149072,19.00890385,21.81016819,20.17047365
5/28/02,14.72016248,16.41546959,18.89668277,17.7863833
5/29/02,12.70480421,14.2477743,16.69859178,16.07661532
5/30/02,11.05734144,12.44387129,14.5902139,13.80606067
5/31/02,9.619859967,10.95826661,12.80248475,12.25245408
6/1/02,8.478248541,9.668819748,11.606177,11.16183413
6/2/02,7.531081941,8.731134375,10.59419546,10.37246223
6/3/02,6.735973506,7.836393382,9.489712201,9.259692856
6/4/02,6.014284823,7.145140235,8.783918516,8.444108157
6/5/02,5.446845344,6.390665628,7.922561003,7.773132087
6/6/02,4.964577558,5.866807923,7.302178035,7.036106125
6/7/02,4.548957221,5.413979746,6.888151181,6.616342731
6/8/02,4.213289919,5.037439592,6.311349986,6.143795195
6/9/02,3.896306211,4.631141133,5.75522424,5.637425972
6/10/02,3.620832749,4.40534452,5.443738051,5.333787688
6/11/02,3.413002662,4.069796729,5.295862781,4.971549049
6/12/02,3.209395306,3.824997824,4.851480066,4.76606935
6/13/02,2.998099392,3.631031044,4.583734999,4.410881875
6/14/02,2.836998209,3.439813022,4.455061205,4.20014368
6/15/02,2.708284578,3.276560636,4.235877548,3.975860876
6/16/02,2.574153104,3.139999099,4.104972877,3.873957605
6/17/02,2.454323144,2.98965393,3.902241938,3.649316267
6/18/02,2.352897918,2.872652403,3.750861004,3.51972622
